region,block_id,longitude,latitude,RESTREND_Slope,Precip_Mean,Precip_CV,VPD_Mean,LST_Mean,Elevation,Slope,TWI,Sand_Percent,Clay_Percent,SOC,Population_2020
Katsina,"83,136",7.517723279774066,12.129497019994542,0.00417028849388098,803.3022537372606,1.5370345489378308,2.006463686145474,33.4383606296076,549.6059148617737,2.25407075881958,10.338062080113493,59.8,20.3,8.9,0.0
Katsina,"79,146",7.156307659728168,13.026741999464448,0.002217329883125503,560.9055828933949,1.7268665510561139,2.3573201653349933,34.86820906537988,470.8130535671641,1.9472769498825073,10.494883493285673,66.9,18.8,7.8,11.143339604139328
Katsina,"77,130",6.986223092759354,11.662292279321044,0.0013883132979654797,1014.6549102143622,1.332837645825368,1.7513359651301263,32.4580298309521,626.176589657661,2.7455570697784424,10.089837556568112,52.2,18.5,9.5,0.0
Katsina,"86,136",7.8107463160265995,12.199731847650927,0.0031721182711809503,768.3720923277882,1.5789432361104605,2.056256019036579,33.864476747946945,547.0950335551621,1.8529658317565918,10.546886872354658,60.7,17.6,8.0,17.369580313563347
Katsina,"90,144",8.0890363811537,12.841584294830776,0.0034422184243895035,571.0680176494242,1.72951975047747,2.330752322960821,35.15606110977712,515.6351404572384,2.672010898590088,10.089552389506975,70.1,16.5,7.3,125.76456224918365
Katsina,"81,132",7.32533253514279,11.851922638011814,0.005537053620497178,915.9462174702008,1.430341054803912,1.8386228179047164,32.86125995207706,554.4206471307697,2.733729600906372,10.133777369924811,58.0,18.0,9.7,0.0
Katsina,"83,142",7.472386005487421,12.688477845063646,0.0020715793570527793,632.007128868202,1.6795064486404037,2.2672887896928016,34.33802754942466,501.3406687636332,2.4668314456939697,10.216966851216723,74.3,12.0,8.1,0.0
Katsina,"82,145",7.433636660950952,12.98650295041075,0.002911601444198328,568.767774197514,1.7279693063742103,2.3443444388421306,34.74964245655577,450.8329601941882,3.2645537853240967,9.88073698150948,67.4,17.8,7.6,0.0
Katsina,"85,147",7.666101409684824,13.128920032484483,0.003359065235096528,537.6517331705045,1.7540858448109544,2.3782057453510492,35.0083905817206,484.0953869550341,2.163769245147705,10.274735200475991,65.9,18.0,7.0,13.986223816871643
Katsina,"86,139",7.788390740071924,12.45347629148427,0.0020472373795248095,681.7988514886208,1.6461089043585404,2.186243151313182,34.26632033823391,554.157197001004,1.7291233539581299,10.580410048731588,66.3,17.4,7.8,2.939465045928955
Katsina,"83,136",7.532936076034109,12.147066045797013,0.0036174764856696144,795.8742541920731,1.544107120623416,2.0179770514676414,33.48122575123076,533.6208058160881,2.768491744995117,10.079631975004533,58.2,18.2,8.6,0.0
Katsina,"85,141",7.644371719608796,12.643376974024616,-4.51013461124249E-4,637.0105745146633,1.6786187474493774,2.2542846528674003,34.372631379167,535.8345640016023,1.6258001327514648,10.622911940161059,76.4,13.1,7.0,3.3414485305547714
Katsina,"83,135",7.540108012967989,12.08042316923651,0.004279397444061744,820.7245906064887,1.5229230006981358,1.9771179470497626,33.36180876057038,579.9014559691157,1.6579526662826538,10.623980695269324,59.9,18.6,8.6,4.250359773635864
Katsina,"89,142",8.016270800561095,12.662288635479538,0.0026535751558114584,613.1203549817058,1.6994399542645695,2.2726783812068367,34.88497389279331,495.441518872167,2.15470027923584,10.305333733734402,74.9,10.5,7.6,45.04978710412979
Katsina,"78,131",7.014392710836257,11.750467511046672,0.008868152536935625,978.0339707941886,1.3636690377774452,1.7934805155737883,32.6311463058842,613.8212208401172,2.8997814655303955,10.148589106258179,52.3,17.9,8.6,0.0
Katsina,"81,134",7.3566300241013645,12.021653151643434,0.005643539862592356,849.0388502501168,1.489975083260453,1.941134972602659,33.18973499128857,554.4350701761421,2.1437742710113525,10.330239594482148,59.5,18.6,8.2,0.0
Katsina,"82,128",7.443273278989987,11.486690457921418,0.0012519915700930195,1038.4979624904252,1.341814404578133,1.6681577877030744,32.33465878218468,674.1150228596807,2.5254814624786377,10.071088476393594,46.6,15.4,8.6,0.0
Katsina,"85,130",7.665960939813947,11.60162543552212,0.003918319952662117,999.0782938812328,1.3875868168548038,1.7131281617816274,32.62178168796072,576.0222848439515,2.5087974071502686,10.148281781517746,54.3,18.4,9.7,15.615823745727539
Katsina,"95,144",8.545325101370281,12.849110131743126,0.0029070886420448894,538.678988288369,1.755806583678826,2.3804619397569433,35.65317241631083,438.21098655195425,3.7633183002471924,9.714084250900278,64.4,18.3,6.7,0.0
Katsina,"78,139",7.0850570311831484,12.46691359476566,0.004784237726609672,693.1137996351134,1.616197292293624,2.1972687199990104,34.136415987050306,456.04293440804145,3.6146750450134277,9.73245091996526,59.6,16.2,8.6,0.0
Katsina,"82,134",7.425949016325342,11.975207256731032,0.007077126171101227,864.0754898238074,1.4800500204024878,1.9122120681887087,33.11867988374277,577.4751136243783,2.8966376781463623,9.899152073017877,63.8,16.0,8.3,0.0
Katsina,"90,144",8.119549231903372,12.88933440853479,-1.6572253609245483E-4,560.6761126746401,1.7368917297850723,2.345811995541805,35.22948003455343,494.1203420304365,2.1877598762512207,10.38014480552316,63.5,19.2,8.1,25.69042459130287
Katsina,"84,141",7.618549819447777,12.585712571422635,-0.001451885512147051,653.2297938499422,1.6655665316309818,2.233592437960489,34.2631082576392,525.9203672537336,2.0773191452026367,10.284547610191137,71.8,16.4,7.8,0.3869321793317795
Katsina,"82,129",7.379689364174831,11.517196337952187,0.00235174765979324,1031.7759847416646,1.341922260571349,1.6786008294016919,32.34462616545584,673.6313331451474,1.8570616245269775,10.45967511786732,47.5,15.8,9.4,231.31400418281555
Katsina,"83,146",7.49492843173672,13.059297047336035,-0.0017801139461384589,554.0701756396852,1.7401953515024686,2.360241559117163,34.853408038695015,483.9201617908818,1.8241745233535767,10.482424917907528,66.4,17.7,7.6,7.854123517870903
Katsina,"83,138",7.463249595516218,12.362737553199297,6.96136069623149E-4,721.9084331940177,1.6056819143437737,2.1405843723910176,33.83945800373157,482.8002803521401,1.7176800966262817,10.663530336060742,61.4,14.9,9.1,0.8899440318346024
Katsina,"81,143",7.283181050228312,12.740554814437182,0.0011685334006929172,621.6569242457107,1.6826282673811852,2.2845992937406154,34.43285351074232,444.0110781824267,1.36802339553833,10.894989687493032,78.5,10.5,7.7,0.0
Katsina,"90,141",8.168750966771206,12.583653823062228,0.0028528642060549627,622.1016263812428,1.6945903192861074,2.2562954206120813,35.033867626371006,530.9075025500629,1.8954473733901978,10.508676314240141,76.2,11.5,8.5,0.0
Katsina,"83,132",7.519044595348138,11.857131765701961,0.0043683964480924166,906.5687207339545,1.4487842971254692,1.8406480891280266,32.94258004164803,616.2730459483441,2.722731828689575,10.04926137405738,55.0,17.7,9.4,0.8282647728919983
Katsina,"85,142",7.637631210190393,12.721299331354608,-1.8256944316959428E-4,619.5253633551665,1.6920262602454361,2.277490231821863,34.47117696736516,539.1597554999627,2.4168150424957275,10.173817947650107,76.0,12.3,7.4,9.235913634300232
Katsina,"83,136",7.4695056187573865,12.204208403645579,0.004625465248578363,777.0481533326293,1.5581079714762447,2.0516788744313317,33.55735750392194,533.489881982091,2.266300916671753,10.28699210136011,60.7,18.6,8.7,0.09947024285793304
Katsina,"82,143",7.38086263617718,12.774882754125647,7.567881044097151E-4,613.6379025690737,1.6918418079891961,2.2925283221174646,34.457168299035935,494.5673544337706,1.6839969158172607,10.607815936888416,76.6,12.1,7.6,0.7922210097312927
Katsina,"81,132",7.3430465283649635,11.818849462613892,0.0050215249197775305,928.523292758156,1.4206072580937168,1.817947392718087,32.80114470203026,573.9934123564075,3.140953302383423,9.899760010677525,56.9,17.5,9.6,0.0
Katsina,"85,127",7.673793059527396,11.335755205261234,-5.757376533485468E-4,1083.1419766780418,1.334151531139235,1.6322546959099555,32.288217388020094,656.3264362029712,2.8304216861724854,10.122389822600578,46.2,15.8,8.9,4.7541911993175745
Katsina,"81,138",7.278239880564435,12.333924523524482,-6.842444070264119E-5,735.227018971188,1.5876175199549332,2.1279756644736416,33.79772310485149,446.79940830724036,2.6531240940093994,10.043892993153655,56.5,17.4,10.2,0.0
Katsina,"78,130",7.058073590185835,11.634285503070059,-2.563584487251757E-4,1018.0330341144878,1.33324746357882,1.7345278090361338,32.41473027463645,606.8775038274413,3.1422388553619385,9.952750840101038,50.7,16.2,8.7,0.0
Katsina,"80,137",7.256263709370873,12.235129189042881,-6.766861099780045E-4,771.2683710511002,1.5548347897139458,2.072793896067101,33.61377816055031,478.7881775827394,4.139148235321045,9.581590619050024,58.2,18.0,10.3,1008.3528254628181
Katsina,"79,128",7.113851248272648,11.482177060864382,0.0024090095290115916,1062.3021501286923,1.3038962327392851,1.6776241720393674,32.20602127687573,689.4365332967293,3.3204269409179688,9.831956786194901,38.4,15.0,8.2,6.282239072024822
Katsina,"86,146",7.780630308830106,13.033490093626716,0.004161836033348335,551.5069662881162,1.7439553582363267,2.3609279129228775,34.976380799231315,456.9630787157006,2.7759592533111572,9.997705691556897,59.3,21.1,7.9,15.68240525573492
Katsina,"79,131",7.156492846382151,11.73319819525031,0.002713886052128171,973.7219968382583,1.3733298467132384,1.7762165804414487,32.60257135385559,631.3112717931093,3.2556567192077637,9.896081675873116,50.0,16.4,8.4,0.2541281580924988
Katsina,"79,130",7.12084287350926,11.649108676320516,-0.0019351305385640312,1006.5598858263961,1.3451978179020052,1.7384584563856527,32.452387847762225,614.0575359466679,2.420813798904419,10.20994801353494,49.8,17.1,12.4,0.0
Katsina,"97,142",8.72447473381005,12.714503079256074,-8.767901378526514E-5,546.3331461230338,1.757255779066608,2.3738101308138764,35.65447966334226,394.04514963201154,1.6700313091278076,10.694651849941438,62.2,18.0,8.1,0.0
Katsina,"81,127",7.358405802765118,11.38190111671259,0.0023861017820497915,1073.2920784026237,1.3145040558758414,1.6435987252736413,32.18563624178437,671.4904128437685,2.86959171295166,10.068790131370177,45.6,15.5,9.4,0.0
Katsina,"78,131",7.043926070239108,11.701821470384253,0.004262562003969398,994.6695127390556,1.3513050917666998,1.766049660584891,32.53317111405894,621.8795093061057,2.480113983154297,10.237666235940724,51.4,16.5,7.5,0.8085895776748657
Katsina,"94,146",8.473213362517281,13.0243286542373,0.004479369315524382,519.4511386953766,1.7670753381815765,2.4147453026011907,35.66867903833587,463.67349185710236,2.2471015453338623,10.297859921075975,65.3,14.2,5.1,55.5678933467716
Katsina,"89,144",8.054709116804469,12.882512859176279,-0.004981752414885282,565.5122680840317,1.7334474551003372,2.3394746644349875,35.141907560147644,521.0133154164579,1.693593144416809,10.641950413748747,70.6,13.4,7.6,0.0
Katsina,"86,137",7.727357057636244,12.214125234428222,0.0018281316465559097,765.5318532728247,1.5777503625485387,2.061458111197482,33.78231049032258,563.7715929667719,2.4504921436309814,10.231448509392731,60.6,16.4,7.7,1.5703305900096893
Katsina,"99,144",8.944441939785749,12.828342128939106,4.684389847052564E-4,506.1456719897625,1.789331457428548,2.4522417977198527,35.83300356454883,382.8513792060755,3.3643782138824463,9.882645020726022,55.1,18.2,5.6,59.1445597410202
Katsina,"90,148",8.106320311101546,13.264020763886476,0.003092700218881615,504.1165322485225,1.778302566325662,2.4326595580777073,35.4252191214162,450.728794803538,2.444603204727173,10.167927909226908,68.4,13.8,5.3,0.0
